Feature1,Feature2
5.496714153011233,4.861735698828816
5.6476885381006925,6.523029856408026
4.765846625276664,4.765863043050819
6.5792128155073915,5.7674347291529084
4.530525614065048,5.542560043585965
4.536582307187538,4.5342702464297435
5.241962271566035,3.086719755342202
3.2750821674869672,4.437712470759028
3.9871688796655764,5.314247332595274
4.091975924478789,3.5876962986647083
6.465648768921554,4.774223699513464
5.067528204687924,3.575251813786543
4.455617275474817,5.110922589709866
3.8490064225776974,5.3756980183456715
4.399361310081195,4.708306250206723
4.398293387770603,6.852278184508938
4.986502775262066,3.9422890710440996
5.822544912103189,3.7791563500289778
5.208863595004756,3.040329876120224
3.6718139511015693,5.1968612358691235
5.738466579995411,5.17136828118997
4.88435171761176,4.698896304410711
3.5214780096325726,4.280155791605291
4.539361229040212,6.057122226218915
5.343618289568461,3.236959844637266
5.3240839693947954,4.6149177195836835
4.323077999694041,5.611676288840868
6.030999522495951,5.931280119116199
4.160782476777362,4.690787624148785
5.331263431403564,5.975545127122359
4.52082576215471,4.8143410233361825
3.893665025993972,3.803793375919329
5.812525822394198,6.356240028570823
4.927989878419666,6.003532897892024
5.361636025047634,4.354880245394876
5.361395605508414,6.538036566465969
4.964173960890048,6.564643655814006
2.3802548959102556,5.821902504375224
5.087047068238172,4.7009926495341325
5.091760776535502,3.012431085399107
4.780328112162488,5.357112571511746
6.477894044741516,4.481729781726353
4.191506397106813,4.498242956415464
5.915402117702074,5.3287511096596845
4.470239796232962,5.513267433113356
5.0970775493480405,5.968644990532889
4.297946906122648,4.672337853402232
4.607891846867842,3.5364850518678814
5.296120277064576,5.261055272179889
5.005113456642461,4.765412866624853
-1.4153707420504142,-0.42064532276535904
-0.3427145165267695,-0.8022772692216189
-0.16128571166600914,0.4040508568145384
1.8861859012105302,0.17457781283183896
0.25755039072276437,-0.07444591576616721
-1.9187712152990415,-0.026513875449216878
0.06023020994102644,2.463242112485286
-0.19236096478112252,0.30154734233361247
-0.03471176970524331,-1.168678037619532
1.1428228145150205,0.7519330326867741
0.7910319470430469,-0.9093874547947389
1.4027943109360992,-1.4018510627922809
0.5868570938002703,2.1904556258099785
-0.9905363251306883,-0.5662977296027719
0.09965136508764122,-0.5034756541161992
-1.5506634310661327,0.06856297480602733
-1.0623037137261049,0.4735924306351816
-0.9194242342338032,1.5499344050175394
-0.7832532923362371,-0.3220615162056756
0.8135172173696698,-1.2308643164339552
0.22745993460412942,1.307142754282428
-1.6074832345612275,0.1846338585323042
0.25988279424842353,0.7818228717773104
-1.236950710878082,-1.3204566130842763
0.5219415656168976,0.29698467323318606
0.25049285034587654,0.3464482094969757
-0.6800247215784908,0.23225369716100355
0.29307247329868125,-0.7143514180263678
1.8657745111447566,0.4738329209117875
-1.1913034972026486,0.6565536086338297
-0.9746816702273214,0.787084603742452
1.158595579007404,-0.8206823183517105
0.9633761292443218,0.4127809269364983
0.82206015999449,1.8967929826539474
-0.2453881160028705,-0.7537361643574896
-0.8895144296255233,-0.8158102849654383
-0.0771017094141042,0.3411519748166439
0.27669079933001905,0.8271832490360238
0.01300189187790702,1.4535340771573169
-0.2646568332379561,2.720169166589619
0.6256673477650062,-0.8571575564162826
-1.0708924980611123,0.4824724152431853
-0.2234627853258509,0.714000494092092
0.47323762457354485,-0.07282891265687277
-0.846793718068405,-1.5148472246858646
-0.4465149520670211,0.8563987943234723
0.21409374413020396,-1.245738778711988
0.173180925851182,0.3853173797288368
-0.883857436201133,0.1537251059455279
0.058208718445999896,-1.142970297830623
3.3577873603482833,-2.4392154736317657
4.083051243175277,-1.946197947965097
1.622330632042909,-3.937825039915123
3.5150352672086598,-2.486214049087791
3.515047686306048,0.8527314906547212
3.570890510693167,-1.864434359819401
3.9540017634932023,-2.348608748694202
2.6847307553596544,-2.2410307795067324
2.227174785462428,-3.236818606740009
2.5146364521708966,-2.9181258606136775
5.314658566673509,-4.8672651925917485
3.6862601903745134,-4.612715871189652
2.5280681342105664,-1.911049403032634
3.0642800190954627,-4.077744777929306
2.284696290740032,-2.320402251065324
2.2696333682828636,-2.783541410418025
3.045571839903814,-3.651600347605817
5.143944089325325,-2.366080977681989
0.9748574133423928,-2.8135456852305722
2.338213535231612,-2.147566665203776
2.2074792615672996,-3.114736441466899
3.5049872789804573,-2.1342448058298786
1.7997035929442238,-3.3345012358409485
2.525054688839044,-3.6533292325737117
4.765454240281096,-2.5950182890390443
1.7391160456649548,-2.082138052945224
5.122156197012633,-1.9675347394488532
1.4806300340459866,-3.4842340728662515
4.2669111491866225,-3.707669465618781
3.443819428146228,-2.2253659465706632
2.073069528421917,-3.0595253560618
-0.24126734006907258,-4.02438764133429
2.7474318486068396,-4.2477831819648495
4.632411303931635,-4.4301413779606325
2.559955513303016,-2.8692594227139088
4.441273289066116,-4.435862151179439
4.16316375215496,-2.989766938980413
2.018491348952049,-2.537896525736729
3.19905969557347,-3.6002168771587946
3.0698020849900187,-3.38531359686176
3.113517345251248,-2.3378693254789535
4.586016816145352,-4.2378154988268495
5.133033374656266,-4.952087799522502
2.8482149049644168,-2.4116827935154235
3.2809918677350325,-3.6226995198205936
2.7918777496427247,-3.493000934658833
2.4106352430557885,-2.1503979029789755
3.3570154859650474,-3.6929095952606543
3.8995998754332506,-2.6927004791233906
3.81286211883896,-2.370371158076388
